1		清华大学		北京		95.3		
2		北京大学		北京		78.6		
3		浙江大学		浙江		73.9		
4		上海交通大学		上海		73.1		
5		复旦大学		上海		66.0		
6		中国科学技术大学		安徽		61.9		
7		南京大学		江苏		59.8		
8		华中科技大学		湖北		59.1		
9		中山大学		广东		58.6		
10		哈尔滨工业大学		黑龙江		57.4		
11		同济大学		上海		56.4		
12		武汉大学		湖北		55.5		
13		东南大学		江苏		55.3		
14		西安交通大学		陕西		54.2		
15		北京航空航天大学		北京		54.0		
16		南开大学		天津		53.9		
17		四川大学		四川		53.3		
18		天津大学		天津		52.4		
19		华南理工大学		广东		51.8		
20		北京师范大学		北京		51.7		
21		北京理工大学		北京		51.1		
22		厦门大学		福建		50.9		
23		吉林大学		吉林		50.2		
24		山东大学		山东		50.0		
25		大连理工大学		辽宁		49.7		
26		中南大学		湖南		49.5		
27		苏州大学		江苏		48.8		
28		对外经济贸易大学		北京		47.7		
29		西北工业大学		陕西		47.6		
30		中国人民大学		北京		47.5		
31		湖南大学		湖南		47.4		
32		华东师范大学		上海		46.5		
33		电子科技大学		四川		46.4		
34		华东理工大学		上海		45.5		
35		重庆大学		重庆		45.2		
35		南京航空航天大学		江苏		45.2		
37		北京科技大学		北京		44.5		
37		南京理工大学		江苏		44.5		
39		上海财经大学		上海		44.3		
40		中国农业大学		北京		43.7		
41		上海大学		上海		43.6		
42		东北大学		辽宁		43.5		
43		华中师范大学		湖北		43.3		
43		南方科技大学		广东		43.3		
45		北京交通大学		北京		43.0		
46		首都医科大学		北京		42.9		
47		武汉理工大学		湖北		42.8		
48		北京化工大学		北京		42.4		
48		北京邮电大学		北京		42.4		
48		东华大学		上海		42.4		
51		北京外国语大学		北京		42.1		
52		天津医科大学		天津		42.0		
52		中央财经大学		北京		42.0		
54		西安电子科技大学		陕西		41.9		
55		南京医科大学		江苏		41.7		
56		暨南大学		广东		41.6		
57		兰州大学		甘肃		41.4		
58		江南大学		江苏		40.8		
59		华北电力大学		北京		40.5		
60		中国海洋大学		山东		40.3		
61		哈尔滨工程大学		黑龙江		40.2		
61		中国地质大学（武汉）		湖北		40.2		
63		华中农业大学		湖北		40.1		
63		南京师范大学		江苏		40.1		
65		东北师范大学		吉林		40.0		
66		西南财经大学		四川		39.9		
67		福州大学		福建		39.8		
67		中国药科大学		江苏		39.8		
69		中国地质大学（北京）		北京		39.7		
70		上海外国语大学		上海		39.6		
71		南京农业大学		江苏		39.5		
72		北京工业大学		北京		39.2		
72		河海大学		江苏		39.2		
74		西南交通大学		四川		39.1		
74		中国医科大学		辽宁		39.1		
76		西南大学		重庆		39.0		
77		南方医科大学		广东		38.8		
77		中南财经政法大学		湖北		38.8		
79		南京信息工程大学		江苏		38.4		
80		江苏大学		江苏		38.3		
80		中国石油大学（华东）		山东		38.3		
82		合肥工业大学		安徽		38.2		
83		上海中医药大学		上海		38.1		
83		中国矿业大学		江苏		38.1		
85		浙江工业大学		浙江		38.0		
86		北京中医药大学		北京		37.9		
86		华侨大学		福建		37.9		
86		西北农林科技大学		陕西		37.9		
89		北京林业大学		北京		37.8		
89		东北财经大学		辽宁		37.8		
91		南京邮电大学		江苏		37.7		
91		深圳大学		广东		37.7		
91		中央民族大学		北京		37.7		
94		南京工业大学		江苏		37.6		
94		中国政法大学		北京		37.6		
96		大连医科大学		辽宁		37.5		
97		中国石油大学（北京）		北京		37.3		
98		西北大学		陕西		37.2		
98		中国传媒大学		北京		37.2		
100		宁波大学		浙江		36.8		
100		扬州大学		江苏		36.8		
102		华南师范大学		广东		36.7		
102		陕西师范大学		陕西		36.7		
104		浙江师范大学		浙江		36.5		
105		首都经济贸易大学		北京		36.4		
105		西交利物浦大学		江苏		36.4		
107		首都师范大学		北京		36.2		
107		浙江理工大学		浙江		36.2		
109		广东外语外贸大学		广东		36.1		
110		湖南师范大学		湖南		35.9		
110		汕头大学		广东		35.9		
110		燕山大学		河北		35.9		
113		杭州电子科技大学		浙江		35.8		
114		广西医科大学		广西		35.7		
115		南京财经大学		江苏		35.6		
115		中国矿业大学（北京）		北京		35.6		
117		哈尔滨医科大学		黑龙江		35.5		
